Designator,Footprint,Quantity,Value,LCSC Part #
3V3LED1,0402,1,CYAN_LED,
"BATTLED1, CANRXLED1",0402,2,ORANGE_LED,
"BOOTJUMPER1, ENJUMPER1, J4, J6",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male,
"C1, C19, C51, C53",0402,4,10uF,
"C10, C11, C3, C42, C5, C54, C6, C8",0402,8,0.1uF,
"C12, R8",0402,2,DNP,
"C13, C14",0402,2,11pF,
"C15, C25, C30, C32, C34, C36, C38, C50",0603,8,22uF,
C16,0603,1,680pF,
C17,0603,1,10uF,
C18,0402,1,100nF,
"C2, C4, C46, C49, C7",0402,5,1uF,
C20,0402,1,47nF,
C23,CP_Elec_10x10,1,1000uF,
C24,CP_Elec_10x10,1,180uF,
C40,1206,1,47uF,
C44,0603,1,100nF,
"C47, C52",0402,2,4.7uF,
C9,0402,1,10nF,
CANTXLED1,0402,1,EMERALD_LED,
D1,SOT-143,1,SP0503BAHT,
D2,SOT-23,1,SM712_SOT23,
DEPLED1,0402,1,RED_LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC2,SiC437BEDT1GE3,1,SiC437AED-T1-GE3,
J1,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,1,Conn_01x03_MountingPin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,FAN,
J3,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J5,Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal,1,Conn_01x08_Male,
"J7, J9",AMASS_XT60PW-M,2,XT60PW-M,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,INDPM110100X540N,1,SRP1050WA-3R3M,
L5,0805,1,1uH,
LOGICLED1,0402,1,BLUE_LED,
Q1,SOT-723,1,"SSM3K15AMFV,L3F",
"Q10, Q7, Q8, Q9",SQS850ENT1_GE3,4,SQS141ELNW-T1_GE3,
"Q5, Q6",PXP01230QLJ,2,PXP012-30QLJ,
R1,0402,1,14k,
"R10, R11, R12",0402,3,5.1k,
"R13, R18, R21, R22, R24, R25, R3, R32, R35, R6",0402,10,10k,
"R14, R28",0402,2,47k,
R15,0603,1,0,
"R16, R17",0603,2,60,
"R19, R34, R36",0402,3,1k,
R2,0402,1,56k,
R20,0402,1,45k,
R23,0402,1,0,
R26,0402,1,160k,
"R27, R9",0402,2,3k,
R29,0402,1,51k,
R30,0402,1,2.2,
R31,0402,1,100k,
"R33, R5, R7",0402,3,470,
R37,0603,1,5.1,
R4,0402,1,499,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
TXLED1,0402,1,GREEN_LED,
"U1, U6, U7, U8",TSOT-23-6,4,LTC4412xS6,
U10,SOIC127P599X175-9N,1,SC4215,
U2,QFN40P700X700X90-57N,1,ESP32-S3,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHzÂ±10ppm,
